manufacturer,date,avg_price,tdp,sales,units,date_new,channel,SOM
PEPSICO,MAYO 2020,1614.452745,1358,45186.399,27.98867860328733,2020-05-01,DTS,66.5102630982708
PEPSICO,MAYO 2021,1664.36535,2497,75038.622,45.08542670634185,2021-05-01,DTS,64.63281949815035
PEPSICO,MAYO 2022,2016.274174,3025,125380.434,62.18421860319875,2022-05-01,DTS,61.744875479932645
PEPSICO,NOVIEMBRE 2019,1514.793368,2615,75134.182,49.60028449239949,2019-11-01,DTS,61.837098938303846
PEPSICO,NOVIEMBRE 2020,1626.521456,1942,70298.703,43.22027400295173,2020-11-01,DTS,64.7274758177648
PEPSICO,NOVIEMBRE 2021,1684.263037,2920,100281.848,59.54049088355075,2021-11-01,DTS,63.281434405417485
PEPSICO,OCTUBRE 2019,1500.127119,2597,77847.363,51.89384420427906,2019-10-01,DTS,61.28784652719961
PEPSICO,OCTUBRE 2020,1617.651916,1962,71611.475,44.26877889594142,2020-10-01,DTS,65.06022107500185
PEPSICO,OCTUBRE 2021,1665.621793,2865,99880.559,59.96592949237426,2021-10-01,DTS,62.94361014483735
PEPSICO,SEPTIEMBRE 2019,1489.003191,2594,72284.078,48.54528078711149,2019-09-01,DTS,61.14947574938714
PEPSICO,SEPTIEMBRE 2020,1617.390614,1698,63826.598,39.462698402922726,2020-09-01,DTS,66.52117731646396
PEPSICO,SEPTIEMBRE 2021,1655.290165,2829,95215.582,57.52198859950334,2021-09-01,DTS,63.11190015178447
RAMO,ABRIL 2020,1125.139974,80,2511.029,2.2317481007034243,2020-04-01,DTS,3.252739345513654
RAMO,ABRIL 2021,1222.704115,170,3805.126,3.112057899633388,2021-04-01,DTS,3.3370810011483307
RAMO,ABRIL 2022,1471.210106,199,6075.54,4.129620898620988,2022-04-01,DTS,3.1467787587580665
RAMO,AGOSTO 2019,1049.902802,142,3419.11,3.256596699700969,2019-08-01,DTS,2.817647451816544
RAMO,AGOSTO 2020,1189.134983,76,2746.522,2.3096805991452363,2020-08-01,DTS,3.3102364684305887
RAMO,AGOSTO 2021,1227.913059,190,4624.332,3.766009300174729,2021-08-01,DTS,3.107038429733814
RAMO,AGOSTO 2022,1690.641058,210,7359.923,4.353332698962526,2022-08-01,DTS,3.3156082336333546
RAMO,DICIEMBRE 2019,1057.968521,149,3771.89,3.565219498624383,2019-12-01,DTS,2.876117354042796
RAMO,DICIEMBRE 2020,1182.397452,90,3389.33,2.866489600655872,2020-12-01,DTS,2.763726059790641
RAMO,DICIEMBRE 2021,1270.584442,214,5117.875,4.027969201278792,2021-12-01,DTS,3.0632286729180924
RAMO,ENERO 2020,1076.208996,151,3602.005,3.3469382000965915,2020-01-01,DTS,2.77022254846508
RAMO,ENERO 2021,1197.405561,88,3084.095,2.5756478009208106,2021-01-01,DTS,2.634038134333754
RAMO,ENERO 2022,1296.472227,207,5414.465,4.176306200194445,2022-01-01,DTS,3.013375813051839
RAMO,FEBRERO 2020,1073.752003,153,3816.043,3.553933300555622,2020-02-01,DTS,3.2122249506559486
RAMO,FEBRERO 2021,1220.030316,114,3287.079,2.694260099025277,2021-02-01,DTS,2.865527895880012
RAMO,FEBRERO 2022,1335.067278,185,5443.818,4.077560801396557,2022-02-01,DTS,3.1781269460949764
RAMO,JULIO 2020,1164.221029,81,2956.104,2.5391260992245828,2020-07-01,DTS,3.480651882909903
RAMO,JULIO 2021,1241.107659,175,4746.144,3.8241194996928143,2021-07-01,DTS,3.2355665150323225
RAMO,JULIO 2022,1649.129515,214,7066.674,4.285093399713969,2022-07-01,DTS,3.195354829481861
RAMO,JUNIO 2020,1145.548185,75,2423.608,2.115675300031137,2020-06-01,DTS,3.244487555391116
RAMO,JUNIO 2021,1247.666781,160,4085.619,3.2746075011513835,2021-06-01,DTS,3.2159515429450725
RAMO,JUNIO 2022,1618.068458,218,6699.3,4.140306899178181,2022-06-01,DTS,3.186638313721172
RAMO,MARZO 2020,1080.872049,140,3681.636,3.4061718992605754,2020-03-01,DTS,3.1358685046842085
RAMO,MARZO 2021,1219.775573,157,3883.384,3.183687299499644,2021-03-01,DTS,3.302081874519521
RAMO,MARZO 2022,1392.060833,195,6209.965,4.460986799418126,2022-03-01,DTS,3.258739593968518
RAMO,MAYO 2020,1153.721533,68,2053.107,1.7795515999960103,2020-05-01,DTS,3.0219864773668177
RAMO,MAYO 2021,1258.269258,168,3784.162,3.0074342005421544,2021-05-01,DTS,3.259402331478843
RAMO,MAYO 2022,1518.203944,205,6349.288,4.182104798958419,2022-05-01,DTS,3.1267717333490053
RAMO,NOVIEMBRE 2019,1049.63558,156,3656.079,3.483188898760464,2019-11-01,DTS,3.0090341417339843
RAMO,NOVIEMBRE 2020,1143.899845,90,3266.774,2.8558217000195505,2020-11-01,DTS,3.0078796060732835
RAMO,NOVIEMBRE 2021,1221.499341,212,4879.236,3.9944647010660974,2021-11-01,DTS,3.078972506395689
RAMO,OCTUBRE 2019,1049.444448,154,3861.744,3.6797983993908367,2019-10-01,DTS,3.040282476868664
RAMO,OCTUBRE 2020,1167.762078,93,3360.791,2.877975799450477,2020-10-01,DTS,3.053334754616862
RAMO,OCTUBRE 2021,1228.392826,188,4744.961,3.862739100692208,2021-10-01,DTS,2.9902213035918
RAMO,SEPTIEMBRE 2019,1041.309818,146,3512.32,3.3729826986035394,2019-09-01,DTS,2.9712840310986253
RAMO,SEPTIEMBRE 2020,1176.530326,78,3092.125,2.6281727990069674,2020-09-01,DTS,3.222665814174698
RAMO,SEPTIEMBRE 2021,1227.930183,196,4911.365,3.999710299490211,2021-09-01,DTS,3.2554081063010143
YUPI,ABRIL 2020,1010.77218,339,7648.402,7.566890097826,2020-04-01,DTS,9.90759490061856
YUPI,ABRIL 2021,1089.794134,569,10608.885,9.734760602042297,2021-04-01,DTS,9.303951715887331
YUPI,ABRIL 2022,1319.095911,779,20273.926,15.369561705812917,2022-04-01,DTS,10.500722519057216
YUPI,AGOSTO 2019,924.839622,678,12273.9,13.271382094829844,2019-08-01,DTS,10.114773452404595
YUPI,AGOSTO 2020,1006.323661,324,7693.107,7.6447641033852225,2020-08-01,DTS,9.272091520453372
YUPI,AGOSTO 2021,1114.561181,668,13589.905,12.19305429945707,2021-08-01,DTS,9.130909521944297
YUPI,AGOSTO 2022,1529.755277,767,23692.56,15.487810603578,2022-08-01,DTS,10.673378921471365
