Manufacturer,Channel,Training Upto,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,Overall WAPE
YUPI,SUPERETES,February 2022,,,,,11.111263606989791,15.55835055609671,18.237622794773554,20.923828877760837,21.54501253710508,17.095067340264585,19.172297623966532,17.778625478384154
COMESTIBLES,DTS,March 2022,,,,,,15.0496954264713,20.944639706928815,21.887210347038334,15.073178412306886,11.161572482271925,5.941175885224353,14.987551057733498
COMESTIBLES,SUPERCADENAS,March 2022,,,,,,11.405769198132992,12.285393407867392,13.330805778673044,20.446635646561976,7.742060761929624,16.424380701870465,13.878321275567748
COMESTIBLES,SUPERETES,March 2022,,,,,,25.00624898758795,29.89922678674418,33.37730372822521,33.141101367405405,25.51151937238805,22.639971030552097,28.480985528891814
OTROS,DTS,March 2022,,,,,,12.91525458724213,17.962166012348323,15.767885036106858,14.731061575885892,13.353193828880586,11.342015757569547,14.288787593574998
OTROS,SUPERCADENAS,March 2022,,,,,,4.632706404683124,0.642641026775014,4.426617820283745,9.672648615643775,9.908509758079623,3.8925424212995634,5.810643460454673
OTROS,SUPERETES,March 2022,,,,,,18.724400554411847,18.535689971427477,24.267354925770558,25.3316488039985,26.945689994601235,23.855011509049337,23.15534579205598
PEPSICO,DTS,March 2022,,,,,,10.280392289230544,14.125122623478019,10.539586914878036,10.846027939686348,12.25681176749125,7.834516278061437,10.966744270157411
PEPSICO,SUPERCADENAS,March 2022,,,,,,0.6807372574825448,8.421490760225746,2.946128981093022,2.71373424609027,8.068476806475012,5.078173127639966,4.661206906055706
PEPSICO,SUPERETES,March 2022,,,,,,13.267021297724853,12.593888209091118,17.03132458080586,18.430546606541977,20.291144081666445,15.912630304776075,16.366698954776993
RAMO,DTS,March 2022,,,,,,5.609676622305563,10.05728747945949,7.113849910570112,4.8106385982829165,5.559856360709535,0.8528710528575968,5.566103912871779
RAMO,SUPERCADENAS,March 2022,,,,,,12.758041142260431,22.093793769028345,2.9513837602187256,3.6184294525429004,1.2662257993359318,2.587649535092173,7.049475530813373
RAMO,SUPERETES,March 2022,,,,,,4.306020814921058,2.2021507967143994,1.1261933972086071,0.16460032979879405,2.627919216716495,1.6633704662708755,2.0260414031046943
YUPI,DTS,March 2022,,,,,,19.1660574705651,27.567365472795572,23.013381211370298,16.95601354625929,15.905188416531779,5.245968767507429,17.93046939127432
YUPI,SUPERCADENAS,March 2022,,,,,,36.73443786420085,11.855698626880425,2.386543764844177,8.674988960346013,2.424197236202532,11.353302579003369,11.53615942551656
YUPI,SUPERETES,March 2022,,,,,,17.27774841824535,17.456343043351428,29.532445911041865,15.869576183898754,11.517982845890865,11.913871092546765,17.214618960967215
COMESTIBLES,DTS,April 2022,,,,,,,10.966055900006904,14.402759105560248,9.057395693402304,6.106600143172191,1.6082294053723436,8.427337555812436
COMESTIBLES,SUPERCADENAS,April 2022,,,,,,,17.33086542551425,19.34368195241189,24.01805201082955,14.24751640258515,22.601875221324686,19.717107741936363
COMESTIBLES,SUPERETES,April 2022,,,,,,,13.381392409004361,12.680568132241522,8.113540584834364,7.6269651071371065,12.396309893611571,10.827422174396016
OTROS,DTS,April 2022,,,,,,,7.217207929961696,10.994269732004465,8.773017310790827,6.394737919017274,2.6460881288572335,7.142938069492715
OTROS,SUPERCADENAS,April 2022,,,,,,,2.1736737433047004,6.193974944917614,14.034348980242177,13.871513827169045,12.256948516565192,10.155123245348666
OTROS,SUPERETES,April 2022,,,,,,,0.9104406718478301,6.447729973746438,3.662951224754454,4.215271543075701,0.28208132539787095,3.0974774460564465
PEPSICO,DTS,April 2022,,,,,,,6.578772307470039,0.6015307697316236,0.0019544280630345383,2.254148066264333,9.59107982678871,3.7648139852182396
PEPSICO,SUPERCADENAS,April 2022,,,,,,,4.196646563244782,2.0229469763941044,5.214607687903965,6.816223199661954,4.1120721344840465,4.503981786721663
PEPSICO,SUPERETES,April 2022,,,,,,,9.193712266144404,11.770963912727264,13.160902356409078,14.71791444973998,11.30601173069346,12.096253492550598
RAMO,DTS,April 2022,,,,,,,3.4394998190123154,2.6990767410724428,3.0661914804392567,3.8894030836598237,3.524660737720261,3.333346834008636
RAMO,SUPERCADENAS,April 2022,,,,,,,13.315341351683937,2.0280910879311134,11.37145378235928,12.985556500557141,15.051117960546435,11.007567559858021
RAMO,SUPERETES,April 2022,,,,,,,3.493074051067129,0.6997610974355133,0.8662794992478801,5.9561384206534385,2.8390556278391617,2.796664164575049
YUPI,DTS,April 2022,,,,,,,4.130512598726564,4.545598910610828,2.413597192456177,0.202022203593925,14.842912542227513,5.136200153951908
YUPI,SUPERCADENAS,April 2022,,,,,,,3.6647745338664692,18.978272865312032,9.674937088027805,2.5147742981887533,3.648355655382654,7.552457364029978
YUPI,SUPERETES,April 2022,,,,,,,12.090731194721664,17.12050325208121,5.972995880731655,1.1096904597079815,2.6457963904858284,7.688561003658662
COMESTIBLES,DTS,May 2022,,,,,,,,2.606941731361145,3.862333208774586,1.730370708695256,6.678161604013393,3.699813898362216
COMESTIBLES,SUPERCADENAS,May 2022,,,,,,,,4.027966276728895,11.514671350562827,0.16231783484030865,5.860689354799221,5.627563453204911
COMESTIBLES,SUPERETES,May 2022,,,,,,,,10.544543807357588,9.981011287083978,5.7291699492120856,8.283018299928358,8.713852197566503
OTROS,DTS,May 2022,,,,,,,,2.1545784547131936,1.9697889968293683,0.5082899741211706,4.823854751782241,2.371733167667451
OTROS,SUPERCADENAS,May 2022,,,,,,,,3.1661872622191725,14.743215111719278,12.486145629005728,7.63513280481443,9.721036909239361
OTROS,SUPERETES,May 2022,,,,,,,,4.023843759799012,0.13471821141407644,1.929220744806102,3.170692717480692,2.2883988017507555
PEPSICO,DTS,May 2022,,,,,,,,4.6356906843752395,5.961349602197348,8.088152970583732,13.027962805877232,7.942105727753574
PEPSICO,SUPERCADENAS,May 2022,,,,,,,,1.2082842280133712,0.6831207720648598,2.2301939492684806,1.228312564950808,1.3354936686854
PEPSICO,SUPERETES,May 2022,,,,,,,,3.2206766899503108,1.1031117806809305,0.14691717395066112,6.900272938728027,2.8096273928225215
RAMO,DTS,May 2022,,,,,,,,1.384132587650068,2.489131457819608,0.018345225139468346,6.906270754367914,2.703204842947001
RAMO,SUPERCADENAS,May 2022,,,,,,,,6.85279478982526,14.459458258309368,14.72073418493485,16.14613388956707,13.172403571639563
RAMO,SUPERETES,May 2022,,,,,,,,4.735121419232871,11.282731445422872,9.193658241739405,15.47643201628356,10.183258868685485
YUPI,DTS,May 2022,,,,,,,,1.8283372435730236,5.385734006326031,4.419891022215962,20.10706797426641,7.831808893851348
YUPI,SUPERCADENAS,May 2022,,,,,,,,21.329621984416356,12.50922877980991,5.795536391911821,1.3179296531947213,10.127544661686402
YUPI,SUPERETES,May 2022,,,,,,,,14.163151568800151,7.55723853362974,4.8389763156791785,4.437109386648698,7.7137814102481
COMESTIBLES,DTS,June 2022,,,,,,,,,6.654459697117923,6.499136006598133,17.847559007753695,10.256600555265
COMESTIBLES,SUPERCADENAS,June 2022,,,,,,,,,7.893496928148955,4.265370448313518,0.2235242077711695,4.194396261908011
COMESTIBLES,SUPERETES,June 2022,,,,,,,,,7.4699303655287,2.1221082555781767,5.335564179415351,5.060305437248032
OTROS,DTS,June 2022,,,,,,,,,0.24488271093892502,3.403901958164747,8.490878705431,4.069816312261936
OTROS,SUPERCADENAS,June 2022,,,,,,,,,10.283652788621541,10.3160884995655,4.341153241863704,8.333928285620674
OTROS,SUPERETES,June 2022,,,,,,,,,0.5100704399236433,0.28963171714286967,5.670477498765045,2.1817287577271696
PEPSICO,DTS,June 2022,,,,,,,,,1.799062838057501,2.366368964491281,5.467477740496712,3.1920501240230497
PEPSICO,SUPERCADENAS,June 2022,,,,,,,,,4.053441690971597,5.913127049870699,2.7423488665183657,4.248270402894581
PEPSICO,SUPERETES,June 2022,,,,,,,,,3.8206108371407512,3.682842445451466,0.22995965199234114,2.595833889514551
RAMO,DTS,June 2022,,,,,,,,,1.271906472246723,0.10708870934531843,6.7532064662021485,2.6935593045524238
RAMO,SUPERCADENAS,June 2022,,,,,,,,,10.515539674307409,5.794981708054821,5.672649880641307,7.359924348451685
RAMO,SUPERETES,June 2022,,,,,,,,,3.457307778543133,4.351485211335888,8.762687767930192,5.516705393207646
YUPI,DTS,June 2022,,,,,,,,,0.5432654803928736,0.5810091572338134,13.8213533347606,4.823627683379802
YUPI,SUPERCADENAS,June 2022,,,,,,,,,10.249035888965812,13.594971964396356,20.614174002133563,14.58684467100333
YUPI,SUPERETES,June 2022,,,,,,,,,2.453884405253627,6.573191512211646,3.7291443854128383,4.232312581577206
COMESTIBLES,DTS,July 2022,,,,,,,,,,1.3913202565528688,10.329832126081127,5.789070018591004
COMESTIBLES,SUPERCADENAS,July 2022,,,,,,,,,,3.489629747527586,0.42694183616035075,1.8909676033972833
COMESTIBLES,SUPERETES,July 2022,,,,,,,,,,16.550747155985743,18.66140437216479,17.59115674293401
OTROS,DTS,July 2022,,,,,,,,,,1.549430349660696,4.791223143026682,3.1737438910504294
OTROS,SUPERCADENAS,July 2022,,,,,,,,,,4.878092001753318,2.078804954235392,3.4933286404506796
OTROS,SUPERETES,July 2022,,,,,,,,,,0.7741224757318398,2.70444982975098,1.7441038883571067
PEPSICO,DTS,July 2022,,,,,,,,,,0.19363786695649016,5.812112449792127,2.9702581772957606
PEPSICO,SUPERCADENAS,July 2022,,,,,,,,,,4.790466271346044,2.188317467496646,3.507343511734012
PEPSICO,SUPERETES,July 2022,,,,,,,,,,1.4165129847674405,3.5698357662747076,2.472876555925469
RAMO,DTS,July 2022,,,,,,,,,,3.056250179133307,3.451645201194449,3.251278331789413
RAMO,SUPERCADENAS,July 2022,,,,,,,,,,2.5690213242911875,5.358778925358895,3.9548582267865333
RAMO,SUPERETES,July 2022,,,,,,,,,,0.9339284258209445,2.835188933750332,1.87028871507004
YUPI,DTS,July 2022,,,,,,,,,,4.902801361745843,19.928955146097085,12.173103949347968
YUPI,SUPERCADENAS,July 2022,,,,,,,,,,14.98949985829822,27.63301428347625,20.879859981519143
YUPI,SUPERETES,July 2022,,,,,,,,,,2.8855495275649337,0.1439593548659866,1.492075850438678
COMESTIBLES,DTS,August 2022,,,,,,,,,,,8.681760148788312,8.681760148788312
COMESTIBLES,SUPERCADENAS,August 2022,,,,,,,,,,,1.1613810088947556,1.1613810088947556
COMESTIBLES,SUPERETES,August 2022,,,,,,,,,,,3.3515398812128128,3.3515398812128128
OTROS,DTS,August 2022,,,,,,,,,,,3.480945806888767,3.480945806888767
OTROS,SUPERCADENAS,August 2022,,,,,,,,,,,0.12386462383544272,0.12386462383544272
OTROS,SUPERETES,August 2022,,,,,,,,,,,1.084327116113139,1.084327116113139
PEPSICO,DTS,August 2022,,,,,,,,,,,6.036546005745764,6.036546005745764
PEPSICO,SUPERCADENAS,August 2022,,,,,,,,,,,1.5777550812444983,1.5777550812444983
PEPSICO,SUPERETES,August 2022,,,,,,,,,,,3.2160139101395577,3.2160139101395577
RAMO,DTS,August 2022,,,,,,,,,,,5.359056727196183,5.359056727196183
RAMO,SUPERCADENAS,August 2022,,,,,,,,,,,4.674659129715638,4.674659129715638
RAMO,SUPERETES,August 2022,,,,,,,,,,,3.2136050062425108,3.2136050062425108
YUPI,DTS,August 2022,,,,,,,,,,,14.004234009724193,14.004234009724193
YUPI,SUPERCADENAS,August 2022,,,,,,,,,,,12.766411986744052,12.766411986744052
YUPI,SUPERETES,August 2022,,,,,,,,,,,1.404623230042742,1.404623230042742
